event_id,customer_id,timestamp,event_type,page_url,session_id,device_type,browser,ip_address,user_agent
EVT_00000001,CUST_000655,2025-08-27 09:55:56,login,/page/48,SESS_000564,desktop,Firefox,189.27.174.190,Mozilla/5.0 (compatible)
EVT_00000002,CUST_000914,2025-07-03 09:55:56,login,/page/38,SESS_000865,desktop,Chrome,56.60.130.155,Mozilla/5.0 (compatible)
EVT_00000003,CUST_000028,2025-07-01 09:55:56,logout,/page/46,SESS_001331,mobile,Edge,57.115.151.72,Mozilla/5.0 (compatible)
EVT_00000004,CUST_000829,2025-09-10 09:55:56,search,/page/11,SESS_001430,desktop,Safari,40.56.246.196,Mozilla/5.0 (compatible)
EVT_00000005,CUST_000345,2025-08-28 09:55:56,login,/page/25,SESS_000199,desktop,Safari,155.68.207.12,Mozilla/5.0 (compatible)
EVT_00000006,CUST_000748,2025-07-14 09:55:56,purchase_start,/page/8,SESS_001993,tablet,Chrome,142.76.213.161,Mozilla/5.0 (compatible)
EVT_00000007,CUST_000634,2025-07-26 09:55:56,purchase_start,/page/13,SESS_001443,desktop,Firefox,198.75.253.21,Mozilla/5.0 (compatible)
EVT_00000008,CUST_000876,2025-08-12 09:55:56,search,/page/7,SESS_000779,desktop,Safari,42.95.91.54,Mozilla/5.0 (compatible)
EVT_00000009,CUST_000687,2025-08-07 09:55:56,purchase_complete,/page/44,SESS_001328,desktop,Firefox,137.187.63.42,Mozilla/5.0 (compatible)
EVT_00000010,CUST_000474,2025-07-24 09:55:56,page_view,/page/41,SESS_001410,mobile,Safari,216.197.199.15,Mozilla/5.0 (compatible)
EVT_00000011,CUST_000235,2025-09-06 09:55:56,search,/page/21,SESS_000822,desktop,Firefox,234.242.146.225,Mozilla/5.0 (compatible)
EVT_00000012,CUST_000736,2025-08-01 09:55:56,logout,/page/42,SESS_001023,desktop,Edge,37.68.36.64,Mozilla/5.0 (compatible)
EVT_00000013,CUST_000763,2025-07-01 09:55:56,purchase_start,/page/17,SESS_001530,mobile,Edge,93.57.36.131,Mozilla/5.0 (compatible)
EVT_00000014,CUST_000506,2025-08-30 09:55:56,search,/page/4,SESS_001764,desktop,Firefox,203.175.109.153,Mozilla/5.0 (compatible)
EVT_00000015,CUST_000066,2025-07-23 09:55:56,click,/page/39,SESS_000959,mobile,Chrome,175.185.30.175,Mozilla/5.0 (compatible)
EVT_00000016,CUST_000907,2025-07-04 09:55:56,search,/page/18,SESS_001575,mobile,Chrome,76.112.41.117,Mozilla/5.0 (compatible)
EVT_00000017,CUST_000004,2025-08-08 09:55:56,purchase_start,/page/49,SESS_000366,mobile,Chrome,223.161.77.216,Mozilla/5.0 (compatible)
EVT_00000018,CUST_000655,2025-07-08 09:55:56,purchase_start,/page/13,SESS_000314,desktop,Firefox,139.245.200.237,Mozilla/5.0 (compatible)
EVT_00000019,CUST_000544,2025-09-10 09:55:56,purchase_start,/page/21,SESS_001001,desktop,Safari,225.253.213.207,Mozilla/5.0 (compatible)
EVT_00000020,CUST_000315,2025-08-11 09:55:56,login,/page/16,SESS_001799,mobile,Chrome,22.188.125.209,Mozilla/5.0 (compatible)
EVT_00000021,CUST_000071,2025-07-04 09:55:56,search,/page/9,SESS_000263,mobile,Firefox,68.136.224.156,Mozilla/5.0 (compatible)
EVT_00000022,CUST_000434,2025-08-14 09:55:56,purchase_start,/page/49,SESS_001495,mobile,Safari,103.255.172.167,Mozilla/5.0 (compatible)
EVT_00000023,CUST_000383,2025-07-16 09:55:56,purchase_start,/page/29,SESS_000248,desktop,Chrome,87.6.151.142,Mozilla/5.0 (compatible)
EVT_00000024,CUST_000236,2025-06-27 09:55:56,logout,/page/1,SESS_000146,mobile,Chrome,59.18.232.9,Mozilla/5.0 (compatible)
EVT_00000025,CUST_000881,2025-07-30 09:55:56,login,/page/33,SESS_000488,desktop,Edge,55.139.34.186,Mozilla/5.0 (compatible)
EVT_00000026,CUST_000958,2025-06-29 09:55:56,purchase_start,/page/31,SESS_000498,mobile,Edge,49.25.25.169,Mozilla/5.0 (compatible)
EVT_00000027,CUST_000442,2025-07-27 09:55:56,click,/page/27,SESS_000957,mobile,Chrome,173.168.252.166,Mozilla/5.0 (compatible)
EVT_00000028,CUST_000101,2025-09-03 09:55:56,click,/page/47,SESS_000695,mobile,Chrome,64.50.49.138,Mozilla/5.0 (compatible)
EVT_00000029,CUST_000460,2025-08-24 09:55:56,click,/page/12,SESS_000571,desktop,Chrome,114.207.221.220,Mozilla/5.0 (compatible)
EVT_00000030,CUST_000564,2025-08-29 09:55:56,login,/page/42,SESS_001108,mobile,Chrome,238.193.218.61,Mozilla/5.0 (compatible)
EVT_00000031,CUST_000171,2025-07-20 09:55:56,click,/page/31,SESS_000438,mobile,Chrome,43.98.1.253,Mozilla/5.0 (compatible)
EVT_00000032,CUST_000400,2025-08-08 09:55:56,search,/page/30,SESS_000585,desktop,Edge,40.49.76.56,Mozilla/5.0 (compatible)
EVT_00000033,CUST_000992,2025-09-03 09:55:56,purchase_start,/page/48,SESS_001111,desktop,Safari,15.13.150.123,Mozilla/5.0 (compatible)
EVT_00000034,CUST_000515,2025-07-05 09:55:56,logout,/page/4,SESS_001968,mobile,Firefox,18.153.18.173,Mozilla/5.0 (compatible)
EVT_00000035,CUST_000883,2025-08-11 09:55:56,click,/page/8,SESS_001929,mobile,Firefox,149.153.11.159,Mozilla/5.0 (compatible)
EVT_00000036,CUST_000084,2025-07-19 09:55:56,purchase_complete,/page/38,SESS_001158,mobile,Safari,53.172.184.81,Mozilla/5.0 (compatible)
EVT_00000037,CUST_000245,2025-08-08 09:55:56,click,/page/9,SESS_001376,mobile,Edge,81.238.193.240,Mozilla/5.0 (compatible)
EVT_00000038,CUST_000075,2025-09-09 09:55:56,click,/page/40,SESS_001154,tablet,Chrome,138.55.130.68,Mozilla/5.0 (compatible)
EVT_00000039,CUST_000136,2025-07-28 09:55:56,login,/page/16,SESS_000757,desktop,Edge,214.140.181.78,Mozilla/5.0 (compatible)
EVT_00000040,CUST_000627,2025-06-19 09:55:56,purchase_start,/page/1,SESS_001368,mobile,Safari,239.170.27.241,Mozilla/5.0 (compatible)
EVT_00000041,CUST_000900,2025-08-24 09:55:56,page_view,/page/8,SESS_001823,desktop,Firefox,70.73.155.54,Mozilla/5.0 (compatible)
EVT_00000042,CUST_000735,2025-07-29 09:55:56,logout,/page/44,SESS_001299,mobile,Edge,65.232.233.217,Mozilla/5.0 (compatible)
EVT_00000043,CUST_000053,2025-08-30 09:55:56,purchase_complete,/page/28,SESS_001699,desktop,Chrome,86.198.34.164,Mozilla/5.0 (compatible)
EVT_00000044,CUST_000269,2025-08-21 09:55:56,purchase_complete,/page/29,SESS_001130,mobile,Chrome,29.20.242.227,Mozilla/5.0 (compatible)
EVT_00000045,CUST_000708,2025-08-22 09:55:56,purchase_start,/page/3,SESS_001710,desktop,Firefox,111.33.11.79,Mozilla/5.0 (compatible)
EVT_00000046,CUST_000374,2025-09-05 09:55:56,page_view,/page/14,SESS_001397,desktop,Chrome,91.200.144.227,Mozilla/5.0 (compatible)
EVT_00000047,CUST_000896,2025-07-20 09:55:56,purchase_start,/page/48,SESS_000317,tablet,Firefox,222.42.250.205,Mozilla/5.0 (compatible)
EVT_00000048,CUST_000831,2025-08-19 09:55:56,click,/page/2,SESS_000368,mobile,Safari,201.239.106.206,Mozilla/5.0 (compatible)
EVT_00000049,CUST_000686,2025-08-10 09:55:56,page_view,/page/11,SESS_001613,mobile,Edge,224.10.220.121,Mozilla/5.0 (compatible)
EVT_00000050,CUST_000228,2025-08-16 09:55:56,search,/page/30,SESS_000717,desktop,Firefox,58.7.169.50,Mozilla/5.0 (compatible)
EVT_00000051,CUST_000409,2025-07-30 09:55:56,page_view,/page/5,SESS_001981,mobile,Safari,165.131.103.174,Mozilla/5.0 (compatible)
EVT_00000052,CUST_000864,2025-07-04 09:55:56,page_view,/page/2,SESS_000237,mobile,Safari,46.149.247.252,Mozilla/5.0 (compatible)
EVT_00000053,CUST_000272,2025-09-06 09:55:56,login,/page/39,SESS_000890,desktop,Safari,112.156.252.131,Mozilla/5.0 (compatible)
EVT_00000054,CUST_000119,2025-07-23 09:55:56,purchase_start,/page/13,SESS_000522,desktop,Edge,1.134.237.207,Mozilla/5.0 (compatible)
EVT_00000055,CUST_000552,2025-06-15 09:55:56,purchase_complete,/page/48,SESS_001510,mobile,Safari,111.18.243.171,Mozilla/5.0 (compatible)
EVT_00000056,CUST_000943,2025-07-30 09:55:56,purchase_start,/page/21,SESS_001359,mobile,Safari,130.80.171.105,Mozilla/5.0 (compatible)
EVT_00000057,CUST_000335,2025-07-21 09:55:56,purchase_complete,/page/19,SESS_001136,desktop,Edge,171.241.98.174,Mozilla/5.0 (compatible)
EVT_00000058,CUST_000767,2025-08-19 09:55:56,purchase_start,/page/37,SESS_000617,desktop,Chrome,78.74.54.111,Mozilla/5.0 (compatible)
EVT_00000059,CUST_000805,2025-06-28 09:55:56,purchase_start,/page/42,SESS_000660,desktop,Edge,173.55.131.122,Mozilla/5.0 (compatible)
EVT_00000060,CUST_000813,2025-08-20 09:55:56,purchase_complete,/page/6,SESS_000582,mobile,Safari,24.210.244.193,Mozilla/5.0 (compatible)
