transaction_id,customer_id,transaction_date,amount,currency,transaction_type,merchant,category,payment_method,status
TXN_00000001,CUST_000655,2025-07-15 09:55:56,34.76,USD,refund,Target,transportation,credit_card,completed
TXN_00000002,CUST_000914,2024-12-05 09:55:56,96.07,USD,purchase,Walmart,food,debit_card,completed
TXN_00000003,CUST_000028,2024-11-27 09:55:56,206.85,USD,deposit,Best Buy,utilities,paypal,completed
TXN_00000004,CUST_000007,2025-06-21 09:55:56,701.16,USD,refund,Best Buy,entertainment,credit_card,completed
TXN_00000005,CUST_000100,2025-03-11 09:55:56,849.02,USD,purchase,McDonald's,healthcare,credit_card,failed
TXN_00000006,CUST_000388,2025-08-01 09:55:56,556.52,EUR,transfer,Best Buy,transportation,credit_card,completed
TXN_00000007,CUST_000234,2025-04-15 09:55:56,985.37,EUR,purchase,Starbucks,entertainment,bank_transfer,completed
TXN_00000008,CUST_000374,2025-06-19 09:55:56,376.48,USD,transfer,Walmart,healthcare,debit_card,completed
TXN_00000009,CUST_000251,2025-06-19 09:55:56,467.64,USD,refund,Home Depot,retail,debit_card,completed
TXN_00000010,CUST_000825,2025-04-02 09:55:56,407.15,USD,transfer,Best Buy,transportation,bank_transfer,completed
TXN_00000011,CUST_000937,2024-10-16 09:55:56,464.26,USD,refund,Costco,transportation,bank_transfer,pending
TXN_00000012,CUST_000409,2025-03-09 09:55:56,227.13,GBP,deposit,Walmart,retail,credit_card,completed
TXN_00000013,CUST_000164,2024-09-27 09:55:56,427.94,USD,deposit,McDonald's,healthcare,paypal,failed
TXN_00000014,CUST_000882,2025-09-05 09:55:56,683.48,USD,transfer,Home Depot,retail,paypal,completed
TXN_00000015,CUST_000465,2025-09-09 09:55:56,954.28,EUR,transfer,Target,healthcare,credit_card,pending
TXN_00000016,CUST_000306,2024-10-18 09:55:56,512.59,USD,transfer,Target,healthcare,credit_card,completed
TXN_00000017,CUST_000501,2025-09-01 09:55:56,120.75,USD,transfer,Best Buy,retail,debit_card,pending
TXN_00000018,CUST_000970,2025-08-01 09:55:56,94.8,USD,purchase,Target,food,bank_transfer,pending
TXN_00000019,CUST_000170,2025-04-28 09:55:56,532.4,USD,refund,Best Buy,transportation,paypal,completed
TXN_00000020,CUST_000688,2024-10-13 09:55:56,379.69,EUR,deposit,Walmart,food,debit_card,completed
TXN_00000021,CUST_000022,2024-11-13 09:55:56,558.38,USD,purchase,Walmart,transportation,credit_card,completed
TXN_00000022,CUST_000928,2025-08-25 09:55:56,861.04,USD,refund,Costco,transportation,bank_transfer,completed
TXN_00000023,CUST_000136,2024-11-22 09:55:56,580.45,USD,deposit,Starbucks,food,credit_card,completed
TXN_00000024,CUST_000442,2025-03-13 09:55:56,429.34,USD,purchase,Walmart,retail,bank_transfer,completed
TXN_00000025,CUST_000820,2025-07-17 09:55:56,256.17,USD,deposit,Target,utilities,debit_card,completed
TXN_00000026,CUST_000256,2025-08-03 09:55:56,448.7,EUR,purchase,Amazon,transportation,credit_card,failed
TXN_00000027,CUST_000949,2025-05-12 09:55:56,174.65,USD,refund,Starbucks,retail,debit_card,completed
TXN_00000028,CUST_000400,2025-04-28 09:55:56,927.25,EUR,transfer,Starbucks,transportation,bank_transfer,completed
TXN_00000029,CUST_000304,2025-05-22 09:55:56,969.02,USD,purchase,Home Depot,retail,credit_card,completed
TXN_00000030,CUST_000515,2024-12-13 09:55:56,165.86,GBP,purchase,Target,retail,credit_card,completed
TXN_00000031,CUST_000241,2025-02-16 09:55:56,128.69,EUR,refund,Amazon,healthcare,credit_card,completed
TXN_00000032,CUST_000598,2024-11-25 09:55:56,527.55,GBP,refund,Home Depot,food,paypal,completed
